Epoch,loss,acc,val_loss,val_acc
1, 0.5684 , 0.8007 , 0.3610 , 0.8703
2,  0.3577 , 0.8732 , 0.3138 , 0.8836
3,  0.3079 , 0.8899 , 0.2779 , 0.8991
4,  0.2762 , 0.9000 , 0.2610 , 0.9047
5, 0.2532 , 0.9096 , 0.2439 , 0.9111
6, 0.2316 , 0.9166 , 0.2369 , 0.9122
7, 0.2166 , 0.9217 , 0.2353 , 0.9155
8, 0.2066 , 0.9268 , 0.2192 , 0.9219
9, 0.1927 , 0.9298 , 0.2271 , 0.9209
10, 0.1833 , 0.9336 , 0.2249 , 0.9199
11, 0.1759 , 0.9363 , 0.2203 , 0.9228
12, 0.1643 , 0.9413 , 0.2183 , 0.9236

Test ,0.21826153927445413
Test , 0.9236
